date,open,high,low,close,pct_change
1993-01-03,3.1,3.3,3.1,3.3,0.0
1993-01-04,10.1,10.4,9.9,10.1,2.0606060606060606
1993-01-05,16.1,16.8,16.0,16.5,0.6336633663366338
1993-01-06,22.0,22.5,21.3,21.8,0.3212121212121213
1993-01-07,25.3,25.9,25.0,25.8,0.1834862385321101
1993-01-08,31.8,32.9,31.4,32.4,0.2558139534883721
1993-01-11,41.2,44.2,40.8,43.6,0.3456790123456792
1993-01-12,51.1,52.6,49.1,50.1,0.1490825688073394
1993-01-13,52.5,54.7,51.7,54.2,0.08183632734530932
1993-01-14,59.2,61.2,57.7,59.9,0.10516605166051662
1993-01-15,61.9,62.9,59.3,60.9,0.016694490818029983
1993-01-18,63.0,65.0,61.9,63.6,0.044334975369458185
1993-01-19,66.8,68.2,63.4,64.4,0.012578616352201255
1993-01-20,63.0,66.7,62.6,65.6,0.01863354037267073
1993-01-21,65.7,67.5,65.1,66.6,0.015243902439024293
1993-01-22,66.5,68.7,65.9,67.4,0.012012012012012185
1993-01-27,69.4,72.5,68.8,71.3,0.05786350148367947
1993-01-28,73.2,75.0,70.8,72.2,0.012622720897615736
1993-01-29,72.9,76.3,72.3,75.3,0.04293628808864258
1993-02-01,82.5,89.0,81.7,87.8,0.16600265604249675
1993-02-02,94.2,98.2,93.1,96.8,0.10250569476082005
1993-02-03,101.1,103.2,97.3,100.2,0.03512396694214881
1993-02-04,104.9,109.2,103.2,108.3,0.08083832335329344
1993-02-05,114.8,117.5,109.5,112.1,0.0350877192982455
1993-02-08,117.0,123.2,115.2,121.6,0.0847457627118644
1993-02-09,128.1,133.6,125.1,129.8,0.06743421052631593
1993-02-10,136.0,139.1,128.5,131.2,0.010785824345146189
1993-02-11,134.4,138.4,125.4,128.8,-0.018292682926829062
1993-02-12,130.6,135.1,124.3,132.7,0.0302795031055898
1993-02-15,138.8,145.6,136.9,142.1,0.07083647324792763
1993-02-16,143.5,145.7,137.6,139.4,-0.0190007037297677
1993-02-17,138.3,142.7,134.9,139.6,0.0014347202295552641
1993-02-18,140.7,144.6,136.9,140.6,0.007163323782235054
1993-02-19,149.8,155.1,143.7,152.1,0.08179231863442382
1993-02-22,156.2,160.6,149.4,152.0,-0.0006574621959236637
1993-02-23,150.5,154.4,143.5,146.6,-0.03552631578947374
1993-02-24,149.6,152.1,135.2,141.1,-0.03751705320600274
1993-02-25,143.4,157.0,140.7,155.0,0.09851169383416014
1993-02-26,157.9,160.9,147.9,150.5,-0.029032258064516148
1993-03-01,148.4,151.2,137.1,139.8,-0.07109634551495014
1993-03-02,136.4,142.4,131.5,136.7,-0.02217453505007172
1993-03-03,131.8,134.3,127.3,128.5,-0.059985369422092094
1993-03-04,127.5,130.4,118.3,123.3,-0.04046692607003888
1993-03-05,123.1,127.0,111.6,117.9,-0.04379562043795615
1993-03-08,131.6,143.2,127.0,130.6,0.10771840542832889
1993-03-09,127.4,129.8,119.8,123.5,-0.05436447166921898
1993-03-10,121.6,130.1,118.1,129.6,0.04939271255060729
1993-03-11,132.8,136.9,130.3,135.4,0.044753086419753174
1993-03-12,136.6,138.6,131.7,134.9,-0.0036927621861152504
1993-03-15,133.8,134.8,123.7,125.8,-0.06745737583395117
1993-03-16,120.8,125.2,119.0,124.1,-0.013513513513513487
1993-03-17,120.0,120.8,115.0,116.3,-0.06285253827558424
1993-03-18,111.4,113.7,109.3,111.3,-0.042992261392949316
1993-03-19,107.6,109.5,105.4,106.8,-0.040431266846361225
1993-03-22,102.0,103.6,94.5,95.9,-0.10205992509363293
1993-03-23,94.2,96.5,89.8,91.5,-0.04588112617309703
1993-03-24,88.3,90.4,85.7,86.6,-0.05355191256830605
1993-03-25,85.4,89.2,82.7,87.7,0.012702078521940052
1993-03-26,91.4,96.1,89.1,94.4,0.07639680729760556
1993-03-29,92.1,93.4,87.3,89.1,-0.0561440677966103
1993-03-30,86.0,88.1,84.0,86.2,-0.03254769921436573
1993-03-31,85.3,86.3,82.4,84.2,-0.023201856148491906
1993-04-01,81.6,83.3,80.5,82.6,-0.019002375296912177
1993-04-02,81.1,82.5,79.8,80.5,-0.025423728813559254
1993-04-05,78.8,80.1,77.1,78.9,-0.019875776397515477
1993-04-06,79.8,86.8,79.0,85.2,0.07984790874524705
1993-04-07,94.9,103.4,93.2,98.9,0.16079812206572774
1993-04-08,109.6,119.8,108.2,117.1,0.18402426693629925
1993-04-09,128.0,133.0,121.8,124.7,0.06490179333902657
1993-04-12,130.7,136.2,125.6,129.6,0.039294306335204476
1993-04-13,133.2,141.0,131.0,139.4,0.07561728395061729
1993-04-14,144.5,148.0,138.1,140.4,0.007173601147776099
1993-04-15,140.3,144.6,136.2,140.2,-0.0014245014245015675
1993-04-16,140.9,143.9,133.4,136.0,-0.029957203994293802
1993-04-19,133.3,138.4,130.5,134.9,-0.008088235294117618
1993-04-20,132.9,136.2,131.0,133.4,-0.01111934766493694
1993-04-21,128.4,129.7,126.0,127.3,-0.045727136431784166
1993-04-22,123.1,126.6,121.7,125.4,-0.01492537313432829
1993-04-23,125.8,127.5,122.5,123.9,-0.011961722488038284
1993-04-26,130.8,135.3,127.8,133.4,0.07667473769168676
1993-04-27,137.8,141.2,134.3,137.0,0.026986506746626615
1993-04-28,136.2,139.2,133.7,136.7,-0.0021897810218979297
1993-04-29,134.5,135.9,130.0,131.1,-0.04096561814191657
1993-04-30,128.1,131.3,126.6,129.4,-0.012967200610221163
1993-05-03,128.1,130.0,124.3,126.5,-0.022411128284389514
1993-05-04,128.8,131.9,118.5,121.3,-0.04110671936758892
1993-05-05,118.6,122.8,115.2,118.9,-0.01978565539983501
1993-05-06,120.6,121.3,109.9,113.5,-0.04541631623212783
1993-05-07,114.1,118.2,111.6,116.3,0.02466960352422909
1993-05-10,115.1,117.2,106.8,108.6,-0.06620808254514188
1993-05-11,105.6,108.0,102.8,106.5,-0.01933701657458553
1993-05-12,104.8,107.9,103.7,106.0,-0.0046948356807511304
1993-05-13,104.4,107.9,103.7,107.3,0.01226415094339628
1993-05-14,106.1,107.5,102.9,104.7,-0.024231127679403497
1993-05-17,99.6,101.3,95.0,98.1,-0.06303724928366772
1993-05-18,95.1,97.5,92.9,95.1,-0.030581039755351647
1993-05-19,90.5,91.6,89.0,90.6,-0.04731861198738174
1993-05-20,88.4,89.9,87.4,88.7,-0.020971302428255956
1993-05-21,86.2,86.5,83.1,84.2,-0.050732807215332576
1993-05-24,85.2,86.1,78.2,79.2,-0.05938242280285033
1993-05-25,78.4,80.5,75.8,78.8,-0.005050505050505083
1993-05-26,77.6,78.9,75.9,76.6,-0.027918781725888353
1993-05-27,75.0,75.7,71.8,73.3,-0.043080939947780617
1993-05-28,71.7,73.2,70.8,72.1,-0.016371077762619368
1993-05-31,71.3,73.0,69.0,70.6,-0.020804438280166426
1993-06-01,69.5,70.8,65.2,69.2,-0.019830028328611804
1993-06-02,77.2,86.4,73.9,85.5,0.23554913294797686
1993-06-03,96.4,102.5,86.0,92.7,0.08421052631578951
1993-06-04,92.7,94.8,88.7,90.6,-0.02265372168284796
1993-06-07,91.3,96.7,88.5,95.0,0.04856512141280356
