concept,order_book_id,etf_name,priority
3D打印,562500.XSHG,华夏中证机器人ETF,1
5G概念,515050.XSHG,华夏中证5G通信主题ETF,1
6G概念,515880.XSHG,国泰中证全指通信设备ETF,1
AIGC概念,515070.XSHG,华夏中证人工智能主题ETF,1
AI医疗,512170.XSHG,华宝中证医疗ETF,1
AI手机PC,515070.XSHG,华夏中证人工智能主题ETF,1
AI智能体,515070.XSHG,华夏中证人工智能主题ETF,1
AI眼镜,159781.XSHE,易方达中证科创创业50ETF,1
AI营销,515070.XSHG,华夏中证人工智能主题ETF,1
BC电池,515790.XSHG,华泰柏瑞中证光伏产业ETF,1
BIPV概念,515790.XSHG,华泰柏瑞中证光伏产业ETF,1
CPO概念,515880.XSHG,国泰中证全指通信设备ETF,1
CXO概念,159992.XSHE,创新药,1
ChatGPT,515070.XSHG,华夏中证人工智能主题ETF,1
DRG-DIP,512170.XSHG,华宝中证医疗ETF,1
DeepSeek,515070.XSHG,华夏中证人工智能主题ETF,1
EDA概念,562030.XSHG,华宝中证信息技术应用创新产业ETF,1
ETC概念,515880.XSHG,国泰中证全指通信设备ETF,1
HJT电池,515790.XSHG,华泰柏瑞中证光伏产业ETF,1
IP经济,159805.XSHE,传媒ETF,1
MCU芯片,512480.XSHG,国联安半导体ETF,1
MiniLED,159781.XSHE,易方达中证科创创业50ETF,1
OLED概念,159781.XSHE,易方达中证科创创业50ETF,1
PCB概念,512480.XSHG,国联安半导体ETF,1
PEEK材料,516020.XSHG,华宝化工ETF,1
POE胶膜,515790.XSHG,华泰柏瑞中证光伏产业ETF,1
PPP概念,516950.XSHG,基建ETF,1
TOPCon,515790.XSHG,华泰柏瑞中证光伏产业ETF,1
一体压铸,515700.XSHG,平安中证新能源汽车产业ETF,1
一带一路,516950.XSHG,基建ETF,1
三代半导,512480.XSHG,国联安半导体ETF,1
东数西算,516510.XSHG,易方达中证云计算与大数据主题ETF,1
中俄贸易,516530.XSHG,物流快递,1
中特估,512950.XSHG,华夏中证央企ETF,1
临界发电,159611.XSHE,广发中证全指电力ETF,1
乡村振兴,159825.XSHE,富国中证农业主题ETF,1
云游戏,159869.XSHE,华夏中证动漫游戏ETF,1
云计算,516510.XSHG,易方达中证云计算与大数据主题ETF,1
互联金融,512880.XSHG,国泰中证全指证券公司ETF,1
人工智能,515070.XSHG,华夏中证人工智能主题ETF,1
人形机器,562500.XSHG,华夏中证机器人ETF,1
人脑工程,515070.XSHG,华夏中证人工智能主题ETF,1
仿制药,512170.XSHG,华宝中证医疗ETF,1
低空经济,159688.XSHE,华安恒生互联网科技业ETF(QDII),1
体育概念,159805.XSHE,传媒ETF,1
供销社,159825.XSHE,富国中证农业主题ETF,1
信创,562030.XSHG,华宝中证信息技术应用创新产业ETF,1
信息安全,515400.XSHG,富国中证大数据产业ETF,1
储能,159755.XSHE,广发国证新能源车电池ETF,1
元宇宙,159781.XSHE,易方达中证科创创业50ETF,1
充电桩,159755.XSHE,广发国证新能源车电池ETF,1
先进封装,159995.XSHE,华夏国证半导体芯片ETF,1
光伏,515790.XSHG,华泰柏瑞中证光伏产业ETF,1
光刻机,512480.XSHG,国联安半导体ETF,1
光热发电,159611.XSHE,广发中证全指电力ETF,1
光通信,515880.XSHG,国泰中证全指通信设备ETF,1
免疫治疗,512010.XSHG,易方达沪深300医药ETF,1
免税概念,159928.XSHE,汇添富中证主要消费ETF,1
养老概念,512010.XSHG,易方达沪深300医药ETF,1
军工信息,512660.XSHG,国泰中证军工ETF,1
军民融合,512660.XSHG,国泰中证军工ETF,1
