order_book_id,etf_name,turnover
515220.XSHG,煤炭ETF国泰,1825397412.0
159687.XSHE,亚太精选ETF南方,1949296206.245
562930.XSHG,软件ETF易方达,124968376.0
513880.XSHG,日经225ETF华安,638579383.0
513110.XSHG,纳指ETF华泰柏瑞,871335605.0
513000.XSHG,日经225ETF易方达,376644825.0
159941.XSHE,纳指ETF广发,3944778179.25
159590.XSHE,软件ETF汇添富,97718374.068
510720.XSHG,红利国企ETF国泰,560250828.0
513100.XSHG,纳指ETF国泰,1758557924.0
159660.XSHE,纳指ETF汇添富,307132100.065
159513.XSHE,纳斯达克100ETF大成,390079433.12
513300.XSHG,纳斯达克ETF华夏,1557667094.0
515230.XSHG,软件ETF国泰,416751318.0
159852.XSHE,软件ETF嘉实,905939698.146
159632.XSHE,纳斯达克ETF华安,702773409.549
513870.XSHG,纳指ETF富国,393123804.0
159659.XSHE,纳斯达克100ETF招商,652926703.949
159792.XSHE,港股通互联网ETF富国,3809282771.724
159501.XSHE,纳指ETF嘉实,494992680.9
513390.XSHG,纳指100ETF博时,326488257.0
159509.XSHE,纳指科技ETF景顺,1310979862.333
520650.XSHG,港股通互联网ETF南方,105319435.0
513040.XSHG,港股通互联网ETF易方达,677293205.0
159568.XSHE,港股互联网ETF博时,106204172.805
159696.XSHE,纳指ETF易方达,306608121.901
159930.XSHE,能源ETF汇添富,302120724.74
513520.XSHG,日经ETF华夏,704101483.0
159170.XSHE,港股通互联网ETF永赢,96418267.496
159256.XSHE,创业板软件ETF华夏,84811427.8
512980.XSHG,传媒ETF广发,395188544.0
159805.XSHE,传媒ETF鹏华,62668209.0
513770.XSHG,港股互联网ETF华宝,898563206.0
159577.XSHE,美国50ETF汇添富,252932036.376
510880.XSHG,红利ETF华泰柏瑞,1309404277.0
513850.XSHG,美国50ETF易方达,317297992.0
159107.XSHE,创业板软件ETF富国,85171928.3
159612.XSHE,标普500ETF国泰,96258118.9
159851.XSHE,金融科技ETF华宝,380250798.723
513500.XSHG,标普500ETF博时,717273487.0
515180.XSHG,红利ETF易方达,528643397.0
159688.XSHE,恒生互联网ETF华安,132084046.3
516860.XSHG,金融科技ETF博时,78251706.0
159866.XSHE,日经ETF工银,420904397.793
159569.XSHE,港股红利低波ETF景顺,100431265.7
513070.XSHG,港股通消费ETF易方达,166212259.0
515080.XSHG,中证红利ETF招商,597815689.0
516010.XSHG,游戏ETF国泰,118664869.0
513690.XSHG,港股红利ETF博时,290211486.0
513400.XSHG,道琼斯ETF鹏华,622850873.0
159869.XSHE,游戏ETF华夏,402806630.859
159981.XSHE,能源化工ETF建信,336947418.4
159735.XSHE,港股消费ETF银华,58216990.1
513650.XSHG,标普500ETF南方,533612392.0
513330.XSHG,恒生互联网ETF华夏,2676977653.0
159202.XSHE,恒生互联网ETF万家,123793747.1
